História;Brasil Pós-Independência
Lei nº 3353 de 13 de maio de 1888 que declarava extinta a escravidão no Brasil.;Lei Áurea
Ato simbólico do momento em que o príncipe regente D. Pedro declarava o Brasil independente de Portugal.;Grito do Ipiranga
Mulher que se alistou para lutar contra os portugueses nas guerras de independência na Bahia. Considerada a Joana D’Arc brasileira.;Maria Quitéria
Em 1824 D. Pedro I instituiu, através da constituição, quatro poderes: Executivo, Legislativo, Judiciário e…?;Moderador
Movimento que tinha como objetivo tornar independente a província de Pernambuco e reunir as províncias do Ceará, Paraíba, Rio Grande do Norte, Piauí e Pará, ocorrido em julho de 1824.;Confederação do Equador
Primeiro país a reconhecer a independência do Brasil, em 1824.;Estados Unidos da América
Evento ocorrido em 15 de março de 1831, no Rio de Janeiro, em que brasileiros atacaram com pedras e garrafas portugueses que organizavam uma grande festa para recepcionar D. Pedro I.;Noite das Garrafadas
Instituição considerada uma das mais importantes do Império, criada em 18 de agosto de 1831.;Guarda Nacional
Revolta ocorrida entre 1835 e 1840 provocada por divergências ocorridas entre as elites locais na província do Grão-Pará.;Cabanagem
Revolta ocorrida em Salvador, entre 1837 e 1838, que representava uma reação dos grupos liberais exaltados ao domínio do governo central sobre as províncias. Foi liderada por Francisco Sabino.;Sabinada
Revolta ocorrida em 1838 no Maranhão e no Piauí. Originou-se das divergências políticas entre as elites conservadoras e liberais, mas acabou fora de controle, com a adesão de pobres e escravos.;Balaiada
Revolta mais longa do período regencial (1835-1845). Buscou separar radicalmente a província do Império e implantar um regime Republicano.;Guerra dos Farrapos
Nome da última revolta provincial ocorrida em Pernambuco no ano de 1847.;Revolta da Praieira
Como eram chamados os defensores do retorno de D. Pedro I ao poder, depois da abdicação de 1831?;Caramurus
Lei aprovada em 1850 que proibiu o tráfico de escravos africanos;Lei Eusébio de Queiroz
Produto que tomou a frente do valor do açúcar na pauta de exportações brasileiras nos anos 1830, e assim se manteve por muitos anos.;Café
O principal, mais sangrento e duradouro conflito do continente sul-americano, ocorrido em 1864.;Guerra do Paraguai
Lei que declarava livres todos os filhos de escravas nascidos a partir de 1871.;Lei do ventre livre
Lei que libertava todos os escravos com mais de 60 anos, aprovada em 28 de setembro de 1883.;Lei dos sexagenários
Liderou um golpe militar em 15 de novembro de 1889, proclamando a República.;Marechal Deodoro da Fonseca
Filosofia do pensador Auguste Comte que influenciou o lema da bandeira nacional, Ordem e Progresso.;Positivismo
Reforma financeira executada pelo ministro da Fazenda, Rui Barbosa, a partir de janeiro de 1890.;Encilhamento
Episódio em que membros da Marinha ameaçaram bombardear o Rio de Janeiro com os navios de guerra ancorados no porto.;Primeira Revolta da Armada
Como ficou conhecido Floriano Peixoto, devido à sua maneira enérgica de enfrentar os adversários políticos?;Marechal de Ferro
Violento conflito entre dois grupos políticos no Rio Grande do Sul, entre 1893 e 1894.;Revolução Federalista
Prática comum na Primeira República, na qual premiava-se com favores públicos o grupo de pessoas que demonstrava fidelidade política aos coronéis.;Clientelismo
Expressão popular que significa voto obrigado, imposto pelos coronéis contra a vontade do eleitor.;Voto de Cabresto
Sistema de alianças entre governadores de Estado e governo Federal que consistiu em troca de favores durante a Primeira República.;Política dos governadores
Política que elegia os presidentes da República, favorecendo os interesses de São Paulo e Minas Gerais.;Política do café com leite
Partido fundado em 1922 inspirado na vitória comunista na Revolução Russa de 1917.;Partido Comunista Brasileiro
Guerra que foi tema do livro Os Sertões, do escritor e jornalista Euclides da Cunha, publicado em 1902.;Guerra de Canudos
Movimento messiânico ocorrido na fronteira entre o Paraná e Santa Catarina, entre 1912 e 1916.;Guerra do Contestado
Em 22 de Novembro de 1910, teve início uma revolta de aproximadamente 2 mil membros da marinha brasileira. Qual o nome dessa revolta?;Revolta da Chibata
Movimento político-militar que pretendia conquistar o poder através da luta armada e promover reformas na Primeira República.;Tenentismo
Movimento tenentista liderado por Luís Carlos Prestes que percorreu o país procurando apoio popular para revoltas contra o governo.;Coluna Prestes
Modo como o movimento de oposição paulista ao governo federal durante a Era Vargas passou a ser designado após a morte de quatro jovens num confronto com tropas do governo em 1932.;MMDC
Revolta iniciada em São Paulo no ano de 1932 que tinha como objetivo lutar contra o governo federal e que, após três meses de combate, terminou com a derrota dos combatentes paulistas.;Revolta Constitucionalista
Como ficou conhecido o período que se inicia após a Revolução de 1930 e termina em 1945.;Era Vargas
Primeiro período da Era Vargas, compreendido entre 1930 e 1934.;Governo Provisório
Segundo período da Era Vargas, compreendido entre 1934 e 1937.;Governo Constitucional
Nome do golpe planejado pela Aliança Nacional Libertadora (ANL), mas que foi descoberto e desarticulado pelo governo Vargas.;Intentona Comunista
Terceiro e último período da Era Vargas, compreendido entre 1937 e 1945.;O Estado Novo
Primeiro projeto de planejamento econômico da história brasileira, lançado durante o governo Dutra (1946-1950).;Plano Salte
Presidente entusiasta da modernidade e do progresso que adotou como lema de seu governo fazer o Brasil crescer “Cinquenta anos em cinco!”;Juscelino Kubitschek
Amplo projeto modernizador proposto por Juscelino Kubitschek que priorizava áreas de indústria de base, energia, transporte, alimentação e educação.;Plano de Metas
Estratégia socioeconômica organizada por Celso Furtado, ministro do Planejamento do governo de João Goulart.;Plano Trienal
Ano em que, incapaz de resistir ao golpe militar, João Goulart deixou Brasília e teve início o período de governos militares no Brasil.;1964
Como eram chamadas as normas e decretos elaborados durante o regime militar no Brasil e que foram usados legitimar e legalizar ações políticas dos militares.;Atos Institucionais
Música composta por Geraldo Vandré apresentada no III Festival Internacional da Canção e que veio a tornar-se hino de contestação à ditadura.;Pra não dizer que não falei das flores
Como ficou conhecido o período em que o general Emílio Garrastazu Médici governou o país. Período este que foi marcado como o auge do poder ditatorial e da violência repressiva do governo contra as oposições.;Anos de chumbo
Lei nº 6683 de 28 de agosto de 1979 que extinguia a responsabilidade penal de autores que respondiam por crimes políticos ou eleitorais cometidos entre 02 de setembro de 1961 e 15 de agosto de 1979. Foi o primeiro passo para a Abertura Política.;Lei da Anistia
Filme muito prestigiado na primeira fase do Cinema Novo, de 1964.;Deus e o Diabo na Terra do Sol
Filme produzido em 1969, baseado no livro homônimo de Mário de Andrade.;Macunaíma
Como ficou conhecido o ato que teve como principal objetivo a transferência do poder a Dom Pedro II antes que o mesmo completasse dezoito anos de idade.;Golpe da Maioridade
Ação conjunta dos seis países do Cone Sul (Brasil, Argentina, Chile, Bolívia, Paraguai e Uruguai) criada na década de 70 com o objetivo de coordenar a repressão a opositores das ditaduras instauradas nestes países.;Operação Condor
Plano econômico lançado em 1986 que visava o controle da inflação durante o período do governo Sarney.;Plano Cruzado
Ano em que foi promulgada a sétima e mais recente constituição brasileira, conhecida como “Constituição Cidadã”, e marco entre o regime militar e a democracia.;1988
É conhecido como o golpe mais forte do regime militar. Foi editado em 1968 pelo então Ministro da Justiça Luís Antônio da Gama e Silva, e concedia ao Presidente da Repúplica, entre outras coisas, o poder de assar mandatos, suspender direitos políticos de qualquer pessoa e decretar recesso do Congresso e assumir suas funções legislativas provisoriamente.;Ato Institucional Número 5, ou AI-5
Capital que começou a ser construída em 1956 após o então presidente Juscelino Kubitschek sancionar a lei nº 2.874. O então presidente e o grupo de profissionais escolhidos por ele tentou desenvolver um modelo de cidade utópica, onde se pretendia eliminar as classes sociais.;Brasília
Organização política de âmbito nacional liderada pelo PCB e fundada oficialmente em 12 de março de 1935, da qual Prestes foi eleito presidente de honra, tornou-se uma ampla frente da qual participaram socialistas, comunistas, católicos e democratas.;Aliança Nacional Libertadora (ANL)
